year,rain_50m_pct,rain_tn_pct,totbal_50m_pct,totbal_tn_pct
2000,4.127259290739687,2.504361016306409,8.766520147778746,3.285551763367463
2001,4.614269555656641,2.537383643853972,7.148315065528515,2.983564026172104
2002,1.6556676413226472,2.368375533882406,2.887308312187936,2.5213885599478547
2003,0.7220145063039521,2.249263934695528,2.6562115544212075,3.05925167747072
2004,1.8441962240963874,2.654401781017969,5.2466501398375405,9.323433352497226
2005,2.4598192620619375,3.0221890569102117,9.016672978206952,8.094287031143699
2006,4.553273172108999,3.585613415710503,11.801596793041963,11.793909973521624
2007,4.738917594410386,5.553680118664007,11.32776571285996,15.8498286532658
2008,4.83450239472306,6.835207699177952,8.29219270648201,10.004921349543402
2009,2.7282626195505633,5.212919422223055,4.582793520722777,5.9360773366806
2010,1.6383171697982615,4.794404588068483,4.488299005321508,7.3307514866781025
2011,1.7610590698460473,2.8371064715238945,6.368403853575616,8.791428657176288
2012,2.4861302014754756,2.739848681559744,7.907532590812904,10.068496217039009
2013,3.5580711460273946,3.1069723601644252,9.956752139752814,10.086314484949517
2014,4.524613173716145,3.7574159525379036,7.292836371777139,6.919907712590648
2015,4.9183112820175765,3.9860831765392852,9.204277625800616,11.062090443132435
2016,5.339670484404995,4.491894029260577,9.739579460548518,15.48359035191775
2017,5.613689073156213,5.04600323306794,8.315685242837946,17.484250124639303
2018,6.547734086613141,5.785446708804004,11.724583884868974,14.028985088011106
2019,7.929661275870275,6.133679156005748,13.993789848403326,17.642564228383158
2020,8.439703574914342,8.207990478731045,12.7117289206807,21.827098680565534
2021,10.288484495299269,10.035782756448857,27.123898373562778,41.30658970259478
2022,11.484141386578694,9.835649470144045,39.50785974028255,56.99600228440891
2023,12.603641523525017,8.583486326029423,30.9208810242137,32.6978374383062
